02-05-2024 17:36:06, scale=2, epochs=500, batchSize=8, avgPSNR=20.59175373826708, avgSSIM=0.6780882412388263
imageN, model_psnr, bilinInter_psnr, bicubInter_psnr, areaInter_psnr, lanczosInter_psnr, model_ssim, bilinInter_ssim, bicubInter_ssim, areaInter_ssim, lanczosInter_ssim
1, 22.491979598999023, 21.442951202392578, 20.611461639404297, 20.02582550048828, 20.361717224121094, 0.4359992237544414, 0.3771912518335733, 0.369743389235699, 0.353807302538425, 0.35785796198009595
2, 17.38680076599121, 16.601455688476562, 15.925101280212402, 14.972694396972656, 15.715490341186523, 0.6272023159620447, 0.5671184035312622, 0.5040513811341261, 0.5182669268131566, 0.4770747861882257
3, 18.74622344970703, 17.25804901123047, 16.755983352661133, 16.0025634765625, 16.57552719116211, 0.6723414816217231, 0.5799137272781955, 0.574190826549111, 0.5746678958351015, 0.5613287944892779
4, 15.137463569641113, 13.32909107208252, 12.734230995178223, 11.99124526977539, 12.45434284210205, 0.6895986218195563, 0.510684663227331, 0.4813116542090763, 0.5220940037917869, 0.44091936948334254
5, 16.523250579833984, 15.259025573730469, 14.599863052368164, 14.073236465454102, 14.396095275878906, 0.48969715164114763, 0.38479853529695235, 0.3871947473766097, 0.3862739447301353, 0.37508227113663717
6, 18.209503173828125, 19.246854782104492, 19.11471939086914, 18.035844802856445, 18.833532333374023, 0.6241627243470543, 0.7085759635254044, 0.6293015345067673, 0.7143473173230706, 0.6092261802407465
7, 16.55583381652832, 15.638944625854492, 14.883539199829102, 14.073525428771973, 14.590001106262207, 0.5808465295170648, 0.5057312413121531, 0.22372861262382734, 0.4834626592218887, 0.18224681972974022
8, 16.571199417114258, 15.00606632232666, 14.343825340270996, 13.9778413772583, 14.054108619689941, 0.6631656204954895, 0.5283718774392356, 0.49816776558465, 0.5472896021083015, 0.4701864419385125
9, 18.985675811767578, 15.870537757873535, 15.619057655334473, 14.475969314575195, 15.287546157836914, 0.8070866243619135, 0.5669243866895356, 0.49685519436217546, 0.5994504511063079, 0.4628962800986166
10, 26.448043823242188, 25.839244842529297, 25.60651969909668, 24.285337448120117, 25.430843353271484, 0.8697200613935858, 0.8551058336732615, 0.8378682077933538, 0.8216400607233986, 0.8267825770176972
11, 15.43508529663086, 14.400327682495117, 13.525871276855469, 12.904159545898438, 13.250511169433594, 0.5474383628941001, 0.4929001118149324, 0.4353218752822526, 0.4799917690765855, 0.4230934623655034
12, 26.746734619140625, 26.272354125976562, 26.044885635375977, 24.486225128173828, 25.81913948059082, 0.8599830725242453, 0.8452071166729381, 0.8453255087332644, 0.8121343154942676, 0.8353122008693621
13, 21.824600219726562, 21.200725555419922, 20.739017486572266, 19.679595947265625, 20.48046875, 0.6938709237322823, 0.6669320760409871, 0.6484259286868139, 0.6320450661209857, 0.6335427551875934
14, 19.99295425415039, 18.792627334594727, 18.064298629760742, 17.446229934692383, 17.870410919189453, 0.7626549329385597, 0.7083990484314153, 0.6462884396247345, 0.6891035887489163, 0.6277366671371118
15, 17.933368682861328, 17.221277236938477, 16.46884536743164, 15.770920753479004, 16.17961311340332, 0.5409860769718177, 0.49193790833165285, 0.4202156727530625, 0.4706465761128371, 0.3907885335597477
16, 15.22028923034668, 15.530851364135742, 14.73326301574707, 14.241028785705566, 14.440655708312988, 0.5001216249377528, 0.509659544463204, 0.4014199502180144, 0.493115550974535, 0.3504002599169376
17, 16.548778533935547, 15.147645950317383, 14.428503036499023, 13.752521514892578, 14.155335426330566, 0.5396850211884902, 0.45117986122923287, 0.35669195232857703, 0.43771560007075383, 0.31595661306838896
18, 18.944772720336914, 17.488370895385742, 16.891828536987305, 16.12221336364746, 16.660621643066406, 0.5654683579234131, 0.4759834363913911, 0.3869123449214946, 0.46280776996096973, 0.3585799339076603
19, 26.636445999145508, 25.934463500976562, 25.584911346435547, 24.370723724365234, 25.375032424926758, 0.8021869125348593, 0.7875360733289178, 0.755294140704183, 0.748197828912809, 0.7434329241935418
20, 22.868064880371094, 21.73050880432129, 21.1503963470459, 20.48126220703125, 20.83606719970703, 0.7231770573842323, 0.6838277592221721, 0.6600449850336465, 0.6683305692553014, 0.641369851568647
21, 20.7717227935791, 19.91386604309082, 19.810274124145508, 18.472862243652344, 19.57767677307129, 0.8227797029904836, 0.767405093500104, 0.7602829049320601, 0.7473430430050247, 0.7416392594954124
