02-05-2024 17:22:22, scale=2, epochs=500, batchSize=8, avgPSNR=21.759179019927977, avgSSIM=0.6423012337097113
imageN, model_psnr, bilinInter_psnr, bicubInter_psnr, areaInter_psnr, lanczosInter_psnr, model_ssim, bilinInter_ssim, bicubInter_ssim, areaInter_ssim, lanczosInter_ssim
1, 21.874710083007812, 22.80510902404785, 21.992450714111328, 21.36570930480957, 21.778533935546875, 0.7056435695991857, 0.7166292483816649, 0.6929191221865513, 0.6767431604873791, 0.6835051537634088
2, 23.4768123626709, 24.3895263671875, 23.8681583404541, 22.776887893676758, 23.65618896484375, 0.812815688355914, 0.818753118907985, 0.8122335952038303, 0.7840273606014881, 0.8042338930962707
3, 18.776674270629883, 20.972450256347656, 20.179248809814453, 19.710006713867188, 19.925996780395508, 0.5152014538799161, 0.563458884710378, 0.42343620398010695, 0.5320121710594216, 0.36509235815824576
4, 23.91441535949707, 24.272281646728516, 23.472389221191406, 22.787534713745117, 23.216041564941406, 0.5383594011449628, 0.5440609029960456, 0.5334160118002815, 0.508433149105668, 0.5204307898092986
5, 17.550458908081055, 17.94705581665039, 16.984987258911133, 16.19864273071289, 16.729501724243164, 0.6116289693228418, 0.610015594738184, 0.5735056861673254, 0.578134033539114, 0.5528709521189966
6, 24.83956527709961, 25.786426544189453, 24.980117797851562, 24.205686569213867, 24.680866241455078, 0.8035161532395997, 0.8124789186758848, 0.7882939796092134, 0.7710375590751429, 0.7751588411906375
7, 17.30909538269043, 17.727474212646484, 16.852088928222656, 15.807012557983398, 16.602392196655273, 0.5564161126041243, 0.5904898407750729, 0.47657663223649194, 0.5628177985690189, 0.43478542723877533
8, 18.915645599365234, 19.385690689086914, 18.475955963134766, 17.647377014160156, 18.18365478515625, 0.43249553855347533, 0.43657533660757625, 0.3987151222741146, 0.3899709650076309, 0.375353543065007
9, 27.76923179626465, 28.853939056396484, 28.29906463623047, 27.56140899658203, 28.116260528564453, 0.775147345649397, 0.7861030654696185, 0.76902276944176, 0.742133954532426, 0.760348646026407
10, 25.806608200073242, 26.272804260253906, 25.800073623657227, 24.758501052856445, 25.5214900970459, 0.7734115965181292, 0.7774658381116669, 0.7490102786299372, 0.7393370302261884, 0.7275392179824383
11, 19.679271697998047, 20.1529483795166, 19.430463790893555, 18.610580444335938, 19.16623306274414, 0.6119247930545885, 0.6181634401590094, 0.5945131192296115, 0.5864121087856737, 0.5828663270605152
12, 20.356948852539062, 21.24234962463379, 20.528114318847656, 19.60970115661621, 20.274974822998047, 0.6213816182764073, 0.6306934468467925, 0.49556713378626177, 0.5918835561885106, 0.4644208581295447
13, 21.03533172607422, 21.371917724609375, 20.587078094482422, 19.91193962097168, 20.330541610717773, 0.5346241757890636, 0.5405595820088548, 0.503023038378933, 0.49965268596980866, 0.4911197512935844
14, 19.22004508972168, 19.70745277404785, 18.93090057373047, 18.290626525878906, 18.6889591217041, 0.5914696733026179, 0.5957734182805843, 0.5888748590611602, 0.5712381592409049, 0.5819779141989907
15, 22.669612884521484, 27.183048248291016, 26.778928756713867, 25.876110076904297, 26.5622615814209, 0.6779610779981001, 0.7047248391502368, 0.6544559515631095, 0.647877623643817, 0.640403852430948
16, 16.83514404296875, 18.262727737426758, 17.422590255737305, 16.81081771850586, 17.163249969482422, 0.4225157723098147, 0.43539674407564605, 0.41576087665886263, 0.410643486110333, 0.4064778928256619
17, 26.207897186279297, 26.812475204467773, 26.30418586730957, 25.31305694580078, 26.061664581298828, 0.8114097840407728, 0.820322323837345, 0.8053337487269053, 0.7928220600923591, 0.7887029728077616
18, 19.495372772216797, 19.81377410888672, 18.957536697387695, 18.173736572265625, 18.673431396484375, 0.5591384439754874, 0.5638692266546504, 0.5300531605383896, 0.5248421810585664, 0.5045362793655794
19, 19.673887252807617, 20.321081161499023, 19.601716995239258, 18.86457061767578, 19.33357810974121, 0.4753377558277646, 0.4853820818749591, 0.4406531667047806, 0.4516240352996453, 0.41240428043975663
20, 21.884252548217773, 22.813674926757812, 22.174280166625977, 21.3856143951416, 21.937973022460938, 0.6784563983559754, 0.6925277508058726, 0.46187170687361556, 0.654147647244167, 0.43094492145897684
21, 25.513046264648438, 25.96798324584961, 25.409225463867188, 24.458633422851562, 25.174455642700195, 0.7927211382529703, 0.7982904719511805, 0.7890370452458584, 0.764651736765483, 0.7809912230442062
22, 29.278003692626953, 32.61442565917969, 31.86887550354004, 30.913803100585938, 31.607282638549805, 0.762132412286713, 0.7741439171459468, 0.7493761687794064, 0.712692764030901, 0.7379042597246028
23, 15.88514518737793, 16.243942260742188, 15.396331787109375, 14.802565574645996, 15.16294002532959, 0.42275470195156645, 0.4252172310502696, 0.3655698557954228, 0.41111769329215114, 0.3487592062062475
24, 19.30733871459961, 20.303741455078125, 19.50606918334961, 18.683191299438477, 19.230300903320312, 0.5095751510963241, 0.519217351320987, 0.48938529258164337, 0.47288023995615225, 0.4667158788945106
25, 24.208126068115234, 24.612159729003906, 23.954870223999023, 23.129575729370117, 23.70834732055664, 0.6883715969701298, 0.6947630188371957, 0.6670104116386886, 0.6568400158163278, 0.6486373554767876
26, 25.166433334350586, 25.988971710205078, 25.376855850219727, 24.458152770996094, 25.148229598999023, 0.7701174240308275, 0.7736647965212239, 0.6769933149895904, 0.7435463394667283, 0.6561507209836566
27, 20.13421058654785, 20.579418182373047, 20.089834213256836, 18.975040435791016, 19.863779067993164, 0.589140173209295, 0.6192682856734218, 0.512919977392945, 0.5888282848910097, 0.47575008967406324
28, 22.807533264160156, 23.148975372314453, 22.613515853881836, 21.73240852355957, 22.44208526611328, 0.7474480761677414, 0.7528162643869737, 0.7461635965540845, 0.708796845356213, 0.7391413881015314
29, 23.868627548217773, 24.748916625976562, 24.374074935913086, 23.196517944335938, 24.167497634887695, 0.7816142377330517, 0.7875895172142519, 0.7539865612032137, 0.7620318808424532, 0.7293925423951693
