02-05-2024 17:22:30, scale=2, epochs=500, batchSize=8, avgPSNR=18.538004389831, avgSSIM=0.6147984466439435
imageN, model_psnr, bilinInter_psnr, bicubInter_psnr, areaInter_psnr, lanczosInter_psnr, model_ssim, bilinInter_ssim, bicubInter_ssim, areaInter_ssim, lanczosInter_ssim
1, 22.079553604125977, 24.26009178161621, 23.9578800201416, 22.523286819458008, 23.699533462524414, 0.7734692773168386, 0.7863884800276625, 0.7453904379847179, 0.754065224555735, 0.71443051466005
2, 15.622710227966309, 15.821446418762207, 15.083520889282227, 14.577016830444336, 14.915163040161133, 0.2658138605332241, 0.2670310637156117, 0.24001233439697542, 0.24834320084957956, 0.23224334464727256
3, 16.753910064697266, 16.957386016845703, 16.65277099609375, 15.701502799987793, 16.38634490966797, 0.6860388492879782, 0.697828040302311, 0.608309697346174, 0.715211050657454, 0.5514739858658512
4, 10.653810501098633, 10.797310829162598, 10.10912036895752, 9.504467010498047, 9.837697982788086, 0.400265851874743, 0.3845763776102699, 0.2619215234933974, 0.3989054301414157, 0.21752592678726987
5, 20.9080810546875, 21.21116828918457, 20.456207275390625, 19.70406723022461, 20.201663970947266, 0.6277659134314967, 0.630663045975666, 0.5710766021480012, 0.6031279466583409, 0.5500555899380805
6, 13.475078582763672, 13.65002155303955, 12.938828468322754, 12.391701698303223, 12.659578323364258, 0.5237817811314447, 0.5089348411223805, 0.4037391157026377, 0.5201319520629202, 0.37104267546238806
7, 22.306827545166016, 23.16332244873047, 22.81985092163086, 21.733495712280273, 22.531049728393555, 0.6925772398738737, 0.6968136133092824, 0.6736316862373234, 0.6804779171461728, 0.6502512998225068
8, 19.09702491760254, 19.280609130859375, 18.792207717895508, 17.92842674255371, 18.550565719604492, 0.6640221324253354, 0.6606186724359993, 0.46191555983487353, 0.6430629224860035, 0.4333281767040955
9, 14.854215621948242, 15.00606632232666, 14.343825340270996, 13.9778413772583, 14.054108619689941, 0.5431525201438737, 0.5283718774392356, 0.49816776558465, 0.5472896021083015, 0.4701864419385125
10, 22.633569717407227, 23.443771362304688, 22.818302154541016, 21.558147430419922, 22.576913833618164, 0.7257891896285017, 0.733742180806199, 0.6717133656101498, 0.6817268269085706, 0.6664666446578513
11, 19.459096908569336, 19.817808151245117, 19.189722061157227, 18.698991775512695, 18.949934005737305, 0.5747458601381642, 0.5685954736140404, 0.5423776373052813, 0.5549697694602918, 0.5251254964852077
12, 16.746585845947266, 17.71078109741211, 17.069320678710938, 16.217731475830078, 16.823890686035156, 0.46131886592425886, 0.4789314422042079, 0.4178675115916421, 0.44891430198061677, 0.3850259880177028
13, 18.11668586730957, 18.26695442199707, 17.82696533203125, 16.93480682373047, 17.63324546813965, 0.6080584775961947, 0.5969565852734747, 0.61890583959936, 0.5934100161631806, 0.6094511089207267
14, 18.29187774658203, 18.498703002929688, 17.698894500732422, 17.162029266357422, 17.421581268310547, 0.6104878185864606, 0.6069578279900296, 0.5597055089689746, 0.6015039661437396, 0.5404732640427536
15, 15.489509582519531, 15.59225082397461, 15.153360366821289, 14.496936798095703, 14.921943664550781, 0.525992875818086, 0.5091636809528401, 0.4685056746959036, 0.5165806943323297, 0.4462899748532238
16, 14.62864875793457, 14.764538764953613, 14.875347137451172, 13.206413269042969, 14.714656829833984, 0.7911337064659238, 0.7846255411613908, 0.4217168988274642, 0.7621469820111593, 0.3747703543426099
17, 15.386637687683105, 15.58316707611084, 14.819489479064941, 14.18744945526123, 14.551291465759277, 0.34956239823932866, 0.3394943576117411, 0.32623220751281146, 0.33986819294652143, 0.30028579791932614
18, 19.621728897094727, 25.139511108398438, 24.900476455688477, 23.41314125061035, 24.59601593017578, 0.7843789689544541, 0.8156766049358799, 0.8010805568433844, 0.7827488587503288, 0.7827437723434822
