02-05-2024 17:22:09, scale=2, epochs=500, batchSize=8, avgPSNR=25.682811279296875, avgSSIM=0.8292094911787083
imageN, model_psnr, bilinInter_psnr, bicubInter_psnr, areaInter_psnr, lanczosInter_psnr, model_ssim, bilinInter_ssim, bicubInter_ssim, areaInter_ssim, lanczosInter_ssim
1, 28.694046020507812, 29.316282272338867, 28.799779891967773, 27.346622467041016, 28.60997772216797, 0.8672228081585203, 0.8754275396534249, 0.8630197036805305, 0.8243839420795169, 0.8549782455164258
2, 24.681396484375, 25.15554428100586, 24.853914260864258, 23.46570587158203, 24.664138793945312, 0.8164943886935216, 0.8355298246116182, 0.7251964197390721, 0.7906462664338937, 0.7083342804576112
3, 24.477216720581055, 24.84442901611328, 24.40892219543457, 22.883892059326172, 24.155845642089844, 0.8200148221010541, 0.8249984369938163, 0.7728750844311139, 0.7808322496356584, 0.7613324567303619
4, 27.720008850097656, 27.88077163696289, 27.105018615722656, 26.484067916870117, 26.87308120727539, 0.8985211962451147, 0.9074878081819011, 0.8866543119619112, 0.8716915521107105, 0.8799670307032198
5, 24.344799041748047, 24.75524139404297, 24.407480239868164, 22.922061920166016, 24.170520782470703, 0.8001178757230206, 0.807549107200199, 0.7786706817842335, 0.7610363977409013, 0.7648310451855654
6, 24.206195831298828, 24.56708526611328, 24.074539184570312, 22.550445556640625, 23.810426712036133, 0.8228288942303658, 0.8296201307651131, 0.7743842124377514, 0.7798775447001167, 0.7528213394976958
7, 23.96417236328125, 24.32897186279297, 23.944337844848633, 22.80745506286621, 23.739158630371094, 0.7827284386062339, 0.7920129492495133, 0.7256341197055686, 0.742378175609402, 0.7082284149658387
8, 27.93498992919922, 28.606433868408203, 28.377063751220703, 26.248416900634766, 28.149761199951172, 0.8615828875437148, 0.8673426095287121, 0.8314212915113199, 0.8228280801958884, 0.8178588484494111
9, 26.099231719970703, 26.563739776611328, 25.87783432006836, 24.880699157714844, 25.60427474975586, 0.8792058488129555, 0.8859623579708298, 0.8549324237399314, 0.8407971381260003, 0.8473312352227123
10, 24.814245223999023, 25.211275100708008, 24.825429916381836, 23.23806381225586, 24.62087631225586, 0.8032164343875401, 0.8099487984886691, 0.7417882029593619, 0.7600411249118971, 0.738203441010416
